p1,p2,sigma
2,8,0.2411647476989914
5,6,-0.17347670826787348
5,7,0.1827972931144376
5,8,0.40125254253621395
6,7,-0.5437895187558532
6,8,-0.09931495101953544
7,8,-0.1898556685819492
1,2,-0.16514493264205726
1,5,0.2656146470843247
1,6,-0.1334052104675535
1,7,0.018273648090817718
1,8,-0.18273359833474478
2,5,0.1713329047992896
2,6,-0.47692662863436275
2,7,0.22568086694459025
2,8,-0.009254363267825347
5,6,-0.18609584608124213
5,7,-0.07814924907340257
5,8,0.022163169699300406
6,7,0.13257562566109815
6,8,0.6694388269167747
7,8,-0.18938659180779252
1,2,0.5214078051908125
1,5,-0.2826246362113846
1,6,0.11464546751527487
1,7,0.035001908909154805
1,8,-0.03114518279222908
2,5,0.31779353916277087
2,6,-0.06661913716016209
2,7,0.06817089308973433
2,8,0.05332863042763575
5,6,0.03394374724857811
5,7,-0.06821408751104617
5,8,-0.6924269879481402
6,7,0.03504536386707763
6,8,0.07309180906959595
7,8,-0.1678253751430941
1,2,0.1382437843651196
1,5,-0.2015613437735841
1,6,0.07910932927715336
1,7,0.14122184196593213
1,8,-0.10108526320999345
2,5,0.06287499740964379
2,6,-0.6104247425247498
2,7,0.002406301894340895
2,8,0.04947887446343757
5,6,0.13407357987074214
5,7,-0.11794352784648254
5,8,0.24942872053633885
6,7,0.4893735142486811
6,8,-0.36719553689724815
7,8,0.2374781860483182
